Category;Subcategory;Supplier;Brand;Region;Year;Month;Units Month;Values Month
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;1;11560;$62800
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;2;10750;$58360
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;3;11020;$59840
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;4;11310;$61400
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;5;13780;$74870
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;6;13260;$72050
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;7;11710;$63620
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;8;12800;$69500
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;9;9140;$49640
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;10;11690;$63460
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;11;9520;$51710
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2018;12;13110;$71200
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;1;9280;$55560
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;2;11380;$68140
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;3;10990;$65840
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;4;11920;$71430
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;5;10080;$60330
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;6;9190;$55050
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;7;9430;$56520
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;8;7960;$47700
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;9;9110;$54500
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;10;9720;$58230
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;11;7430;$44480
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2019;12;8040;$48180
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;1;8170;$48950
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;2;7240;$43390
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;3;10530;$63090
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;4;8930;$53510
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;5;7250;$43460
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;6;8700;$52140
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;7;7170;$42940
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;8;7880;$47160
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;9;7330;$43910
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;10;8500;$50920
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;11;7210;$43200
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2020;12;8770;$52550
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;1;8950;$53620
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;2;6990;$41850
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;3;8110;$48550
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;4;7240;$43370
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;5;6700;$40120
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;6;7310;$43810
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;7;7390;$44260
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;8;6720;$40240
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;9;7110;$42580
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;10;7480;$44810
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;11;6100;$36560
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2021;12;7480;$44810
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;1;6660;$39930
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;2;6070;$36340
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;3;6850;$41030
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;4;6310;$37800
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;5;6270;$37520
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;6;7440;$44580
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;7;5420;$32480
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;8;6570;$39300
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;9;4930;$29550
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;10;4660;$28660
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;11;3460;$23720
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2022;12;2930;$20120
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2023;1;4310;$29790
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2023;2;5630;$38970
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;Center;2023;3;5660;$39270
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;1;10910;$59250
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;2;9650;$52380
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;3;11350;$61660
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;4;10870;$59010
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;5;11990;$65080
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;6;10610;$57630
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;7;10900;$59170
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;8;9390;$50990
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;9;8860;$48130
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;10;10170;$55200
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;11;9260;$50290
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2018;12;10310;$55960
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;1;10290;$61640
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;2;8720;$52260
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;3;8750;$52360
